Title,Podcaster,Author,Ship,Link,Link
"brandy, apricot, and spice",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41137764""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41137764""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
By Any Other Name,sweaters_in_the_summer,stellates,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/53271664""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/53271664""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
By Chance,Podfics by Juuls (Juulna),rosestone,Dudley Dursley & Harry Potter,"<a href=""https://archiveofourown.org/works/39410010""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/39410010""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Cake,lazulus,astolat,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/7805179""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/7805179""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"calamitous love, insurmountable gried",Dramione Podfics,,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/3UyIjkML0ZSuAAhYrC92Ui?si=8ffe37960a69439d""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/3UyIjkML0ZSuAAhYrC92Ui?si=8ffe37960a69439d""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Can't Fight The Moonlight,sweaters_in_the_summer,sunsetmog,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/50373079""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50373079""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Can't Look at the Stars (Halloween 1981),peaceinpanem,BrigidFaye,"Sirius Black/Remus Lupin, James Potter/Lily Evans Potter","<a href=""https://archiveofourown.org/works/51236122""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/51236122""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Can't Take The Sky,JocundaSykes,Cluegirl,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/52632856""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52632856""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Capitulations,JocundaSykes,basketofnovas (slashmarks),"Rodolphus-OC Female, Bellatrix-Rodolphus","<a href=""https://archiveofourown.org/works/22973977""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/22973977""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Capture Rate,EllaMcSmellBella,"ChaosAndCrumpets, Saberspooky, slytherindiaries",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/50142019""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50142019""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Cards Against the Ministry,nocturn,storyofeden,"Hermione, Tonks","<a href=""https://archiveofourown.org/works/52170586""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52170586""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Carpe Piscis,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41828163""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41828163""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Catch and Release,fire_juggler,Roozette,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/309650""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/309650""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Chocolate Cocks and How to Make Them,ETL_Echo_Audiobooks,drarryruinedme7,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/51008737""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/51008737""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Christmas in March,RattleandHum (ThirdEye1234),sebastianL,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/35846569""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/35846569""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Citation Formatting and Other Love Languages,RattleandHum (ThirdEye1234),HeyJude19,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/35360347""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/35360347""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Coming Across a Silver Moon,BurningAurora,sliebman10,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/6RvyhxfeHP8gu5fnwD6UVN?si=8d8ecc0522294e89""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/6RvyhxfeHP8gu5fnwD6UVN?si=8d8ecc0522294e89""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
commit this to memory,ETL_Echo_Audiobooks,skitter,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41115696""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41115696""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Common Ground,EllaMcSmellBella,tofadeawayagain,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703831""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41703831""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Common Spaces, Empty Places",ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138973""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41138973""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"consumed, obsessed, and attached",ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138451""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41138451""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Cool Hand Granger,ETL_Echo_Audiobooks,pacificrimbaud,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41814819""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41814819""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dance With Me,EllaMcSmellBella,Enigmaticrose4,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703999""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41703999""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"dancing bears, painted wings",EllaMcSmellBella,LovesBitca9,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43407670""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43407670""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Deadheading the Odd Dahlia,ETL_Echo_Audiobooks,peachpety,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/50179858""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50179858""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Detention,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/5MjXlJRmRmkHsQ9Ipf0xd8?si=XEHnmS5gQXqJCB71qTI6Hw""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5MjXlJRmRmkHsQ9Ipf0xd8?si=XEHnmS5gQXqJCB71qTI6Hw""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Diary,EllaMcSmellBella,EllaMcSmellBella,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/44416951""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44416951""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Divination and Deviation,Snamione Reads,SallySlytherin,snamione,"<a href=""https://open.spotify.com/episode/4Mgy1pd3jKJBkj17mzeQp3?si=4b9d11b3aa534ebf""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/4Mgy1pd3jKJBkj17mzeQp3?si=4b9d11b3aa534ebf""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
"Draco, Merrily On High",ETL_Echo_Audiobooks,blythely,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/52139434""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52139434""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dragonhide Trousers Required,ETL_Echo_Audiobooks,glittering_git ,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/41207235""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41207235""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Dream Weaver,inmyownlittle_podfic_corner,emotionalsupporthufflepuff,Luna Lovegood/Draco Malfoy,"<a href=""https://archiveofourown.org/works/45153931""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/45153931""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
drops in the bucket,kitartpods (kitsunerei88),xslytherclawx,Percy Weasley,"<a href=""https://archiveofourown.org/works/50040166""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50040166""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Egyptology 101,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703792""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41703792""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Embers and Soot,"blackglass, dreamquaffle, horchatapods, InklingDancer, irrationalpie, JocundaSykesEncore, LenaReads (LenaLawlipop), lyraonyx, Mangacat, Podfics by Juuls (Juulna), Pods and Filks by (SerenaEW), SerenaEW, v0lumnius, with (wilfriede0815)",,* a capella song*,"<a href=""https://archiveofourown.org/works/52454990""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52454990""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Empty Burrow,Cailynwrites,copperbadge,Arthur Weasley/Molly Weasley,"<a href=""https://archiveofourown.org/works/53571133""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/53571133""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Entangled,Static_Whisper,,Neville-Ron,"<a href=""https://archiveofourown.org/works/38852691""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/38852691""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Epistolary Arrangements,DontStopHerPodfics,DontStopHerNow,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/48968776""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/48968776""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Erosmancy,lazulus,astolat,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/7804927""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/7804927""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Every Leaf That Unfurls, Every Petal That Blooms",micha_making_podfics,bafflinghaze,Draco Malfoy/Harry Potter,"<a href=""https://open.spotify.com/episode/4lv9PyUnWQOm3UpsC2n48W?si=c704f6906014464e""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/4lv9PyUnWQOm3UpsC2n48W?si=c704f6906014464e""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Faint of Heart,ETL_Echo_Audiobooks,eevans,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/47464393""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47464393""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Falling,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0dfPp4QV3Sx4ONvO9DSm7t?si=M07ZozrFTtGgohpcPcoOOg""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0dfPp4QV3Sx4ONvO9DSm7t?si=M07ZozrFTtGgohpcPcoOOg""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Falling Chandeliers,EllaMcSmellBella,Tygermine,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703615""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41703615""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
fate and plans,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138862""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41138862""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Feeling Warm,ETL_Echo_Audiobooks,gnarf ,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/43313140""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43313140""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Figure You Out by MalfoysMuggleMrs,ETL_Echo_Audiobooks,MalfoysMuggleMrs,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/47178901""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47178901""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Final Examination,JocundaSykes,asecretchord,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/34551859""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/34551859""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Finding Neville Longbottom,DontStopHerPodfics,DontStopHerNow,Neville Longbottom/Pansy Parkinson,"<a href=""https://archiveofourown.org/works/46501942""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/46501942""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Little Things,ETL_Echo_Audiobooks,bixgirl1,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/42581982""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/42581982""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Little Things,RattleandHum (ThirdEye1234),Bixgirl1,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/33764527""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/33764527""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Five Reasons Hermione Thinks Luna is Brilliant,Flowerparrish Pods (Flowerparrish),Perfica,Hermione Granger/Luna Lovegood,"<a href=""https://archiveofourown.org/works/41149431""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41149431""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Focus Potion,ETL_Echo_Audiobooks,fwooshy,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/51133783""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/51133783""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Old Times' Sake,ETL_Echo_Audiobooks,thestarryknight,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/43158603""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43158603""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Want of a Jumper,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138673""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41138673""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
For Want of a Jumper,The Dramione Archives,"elithean, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/5p3q2Yo4yYG7DjZbBbcwtX?si=02ca4d93dce1417e""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5p3q2Yo4yYG7DjZbBbcwtX?si=02ca4d93dce1417e""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
